Modelo,Dia Prevista,Valor Previsto,Valor Realizado,MAPE (%)
Pipeline em Produção,2025-06-12,2448.4,2017,9.49
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-12,2370.3,2017,17.52
Voting(ETR+RFR+XGB),2025-06-12,2499.6,2017,23.93
FEAT+ABR(3),2025-06-13,2441.2,2569,4.98
Pipeline em Produção,2025-06-13,2517.4,2569,9.65
Pipeline em Produção,2025-06-13,2517.4,2569,16.11
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-13,2219.1,2569,13.62
Voting(ETR+RFR+XGB),2025-06-13,2356.6,2569,8.27
FEAT+ABR(3),2025-06-16,2460.8,2329,5.66
Pipeline em Produção,2025-06-16,2401.8,2329,1.52
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-16,2236.7,2329,3.96
Voting(ETR+RFR+XGB),2025-06-16,2380.0,2329,2.19
FEAT+ABR(3),2025-06-17,2132.8,2379,10.35
Pipeline em Produção,2025-06-17,2316.4,2379,1.66
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-17,2256.6,2379,5.15
Voting(ETR+RFR+XGB),2025-06-17,2252.6,2379,5.31
FEAT+ABR(3),2025-06-18,2210.6,2358,6.25
Pipeline em Produção,2025-06-18,2044.7,2358,18.66
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-18,2144.4,2358,9.06
Voting(ETR+RFR+XGB),2025-06-18,2227.5,2358,5.53
FEAT+ABR(3),2025-06-20,2187.1,2697,18.91
Pipeline em Produção,2025-06-20,2187.1,2697,7.36
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-20,2286.6,2697,15.22
Voting(ETR+RFR+XGB),2025-06-20,2047.1,2697,24.1
FEAT+ABR(3),2025-06-23,2338.0,1989,17.55
Pipeline em Produção,2025-06-23,2422.6,1989,679.52
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-23,2223.8,1989,11.8
Voting(ETR+RFR+XGB),2025-06-23,2393.3,1989,20.33
FEAT+ABR(3),2025-06-24,2277.9,2399,5.05
Pipeline em Produção,2025-06-24,2399.3,2399,18.27
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-24,2222.8,2399,7.34
Voting(ETR+RFR+XGB),2025-06-24,2305.8,2399,3.88
FEAT+ABR(3),2025-06-25,2309.9,2363,2.25
Pipeline em Produção,2025-06-25,2452.8,2363,2.15
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-25,2385.0,2363,0.93
Voting(ETR+RFR+XGB),2025-06-25,2156.9,2363,8.72
FEAT+ABR(3),2025-06-26,2388.8,2570,7.05
Pipeline em Produção,2025-06-26,2268.5,2570,2.92
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-26,2438.5,2570,5.12
Voting(ETR+RFR+XGB),2025-06-26,2140.2,2570,16.73
FEAT+ABR(3),2025-06-27,2418.0,2198,10.01
Pipeline em Produção,2025-06-27,2446.5,2198,13.85
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-27,2355.8,2198,7.18
Voting(ETR+RFR+XGB),2025-06-27,2350.8,2198,6.95
FEAT+ABR(3),2025-06-30,2370.1,2534,6.47
Pipeline em Produção,2025-06-30,2349.2,2534,43.24
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-30,2317.8,2534,8.53
Voting(ETR+RFR+XGB),2025-06-30,2393.1,2534,5.56
FEAT+ABR(3),2025-07-01,2378.0,2652,10.33
Pipeline em Produção,2025-07-01,2321.2,2652,9.3
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-01,2415.0,2652,8.94
Voting(ETR+RFR+XGB),2025-07-01,2357.4,2652,11.11
FEAT+ABR(3),2025-07-02,2391.8,2390,0.07
Pipeline em Produção,2025-07-02,2532.2,2390,15.89
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-02,2337.2,2390,2.21
Voting(ETR+RFR+XGB),2025-07-02,2317.2,2390,3.05
FEAT+ABR(3),2025-07-03,2349.9,1806,30.12
Pipeline em Produção,2025-07-03,2486.4,1806,3.24
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-03,2216.2,1806,22.71
Voting(ETR+RFR+XGB),2025-07-03,2156.1,1806,19.38
FEAT+ABR(3),2025-07-04,2460.2,2804,12.26
Pipeline em Produção,2025-07-04,2371.0,2804,26.05
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-04,2302.8,2804,17.88
Voting(ETR+RFR+XGB),2025-07-04,2460.7,2804,12.24
FEAT+ABR(3),2025-07-07,2354.2,2323,1.34
Pipeline em Produção,2025-07-07,2419.5,2323,11.54
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-07,2331.6,2323,0.37
Voting(ETR+RFR+XGB),2025-07-07,2323.6,2323,0.02
FEAT+ABR(3),2025-07-08,2404.5,2893,16.88
Pipeline em Produção,2025-07-08,2421.7,2893,3.62
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-08,2264.6,2893,21.72
Voting(ETR+RFR+XGB),2025-07-08,2285.5,2893,21.0
FEAT+ABR(3),2025-07-09,2326.0,2466,5.68
Pipeline em Produção,2025-07-09,2611.7,2466,28.73
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-09,2416.9,2466,1.99
Voting(ETR+RFR+XGB),2025-07-09,2145.4,2466,13.0
FEAT+ABR(3),2025-07-10,2211.8,2876,23.1
Pipeline em Produção,2025-07-10,2433.2,2876,1.81
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-07-10,2279.9,2876,20.73
Voting(ETR+RFR+XGB),2025-07-10,2327.9,2876,19.06
FEAT+ABR(3),2025-07-11,2547.4,2819,9.64
